#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 08 13 50  10  6.5  8.0  1.34  7.14  5.33  71 1037.0  12.4  21.6   5.6 99.0 99.00
2017 01 08 14 50  16  6.7  9.7  1.35  7.14  5.38  74 1037.7  13.0  22.0   6.2 99.0 99.00
2017 01 08 15 50  41  5.3  7.5  1.31  8.33  5.15  90 1037.9  13.5  22.3   6.1 99.0 99.00
2017 01 08 16 50  73  5.8  7.7  1.35  7.14  5.09  77 1037.2  14.2  22.5   6.3 99.0 99.00
2017 01 08 17 50  71  6.0  8.5  1.33  6.67  5.25  71 1036.2  14.5  22.7   6.7 99.0 99.00
2017 01 08 18 50  91  4.4  6.3  1.38  7.14  5.49  66 1035.0  14.7  22.6   5.8 99.0 99.00
2017 01 08 19 50  94  4.8  6.6  1.40  6.67  5.38  67 1033.9  14.8  22.8   6.6 99.0 99.00
2017 01 08 20 50  85  5.9  7.8  1.27  6.67  5.25  79 1032.8  15.3  22.9   7.4 99.0 99.00
2017 01 08 21 50  92  5.9  7.8  1.37  6.67  5.22  62 1032.3  15.5  23.3   7.6 99.0 99.00
2017 01 08 22 50  99  6.7  9.4  1.33  7.69  5.23  88 1031.8  15.8  22.8   8.6 99.0 99.00
2017 01 08 23 50 112  5.8  7.5  1.28  8.33  5.16  99 1032.2  16.2  22.8   8.9 99.0 99.00
2017 01 09 00 50 143  5.5  7.1  1.28  7.69  5.06  71 1032.3  16.3  22.9   8.1 99.0 99.00
2017 01 09 01 50 126  5.4  8.3  1.21  7.14  5.11  70 1032.2  16.6  23.1   9.0 99.0 99.00
2017 01 09 02 50 146  6.9  8.5  1.22  6.67  5.04  66 1031.7  17.1  23.1   9.6 99.0 99.00
2017 01 09 03 50 155  7.0  9.0  1.20  7.14  4.86  70 1031.7  17.4  23.5  10.0 99.0 99.00
2017 01 09 04 50 148  6.1  8.1  1.11  7.14  4.98  64 1031.4  17.9  23.5  11.3 99.0 99.00
